name,price,profit,%,
Share-XJMO,9.39,39.98,0.3998,3.754122
Share-MTLR,16.49,39.97,0.3997,6.591053
Share-KMTG,23.21,39.97,0.3997,9.277037
Share-LRBZ,32.9,39.95,0.3995,13.14355
Share-GTQK,15.4,39.95,0.3995,6.1523
Share-WPLI,34.64,39.91,0.3991,13.824824
Share-GIAJ,10.75,39.9,0.399,4.28925
Share-GHIZ,28,39.89,0.3989,11.1692
Share-IFCP,29.23,39.88,0.3988,11.656924
Share-ZSDE,15.11,39.88,0.3988,6.025868
Share-FKJW,21.08,39.78,0.3978,8.385624
Share-NHWA,29.18,39.77,0.3977,11.604886
Share-LPDM,39.35,39.73,0.3973,15.633755
Share-QQTU,33.19,39.6,0.396,13.14324
Share-USSR,25.62,39.56,0.3956,10.135272
Share-EMOV,8.89,39.52,0.3952,3.513328
Share-LGWG,31.41,39.5,0.395,12.40695
Share-SKKC,24.87,39.49,0.3949,9.821163
Share-QLMK,17.38,39.49,0.3949,6.863362
Share-UEZB,24.87,39.43,0.3943,9.806241
Share-GRUT,498.76,39.42,0.3942,196.611192
Share-CBNY,1.22,39.31,0.3931,0.479582
Share-CGJM,17.21,39.3,0.393,6.76353
Share-EVUW,4.44,39.22,0.3922,1.741368
Share-QKDN,28.55,39.21,0.3921,11.194455
Share-LSZT,34.9,39.19,0.3919,13.67731
Share-LOKP,41.04,39.17,0.3917,16.075368
Share-CAEQ,36.56,39.17,0.3917,14.320552
Share-KZBL,28.99,39.14,0.3914,11.346686
Share-SNKS,16.75,39.04,0.3904,6.5392
Share-ZWPI,21.5,39.02,0.3902,8.3893
Share-YPGY,16.97,38.97,0.3897,6.613209
Share-URMZ,34.99,38.89,0.3889,13.607611
Share-ZNKU,6.96,38.77,0.3877,2.698392
Share-IVRI,27.35,38.76,0.3876,10.60086
Share-FYKQ,41.06,38.75,0.3875,15.91075
Share-DXOW,24.99,38.75,0.3875,9.683625
Share-ZFQR,21.74,38.74,0.3874,8.422076
Share-TTLC,30.69,38.68,0.3868,11.870892
Share-MMFR,37.78,38.54,0.3854,14.560412
Share-APJH,26.51,38.5,0.385,10.20635
Share-KQDZ,16.02,38.42,0.3842,6.154884
Share-YRSC,47,38.3,0.383,18.001
Share-ABJM,21.17,38.29,0.3829,8.105993
Share-CPWU,37.92,38.28,0.3828,14.515776
Share-GYNX,30.96,38.27,0.3827,11.848392
Share-MGXU,13.5,38.27,0.3827,5.16645
Share-XSSB,22.12,38.25,0.3825,8.4609
Share-CFOZ,10.64,38.21,0.3821,4.065544
